   -42,   -63,     8
    -31,   -22,     9
    -78,     8,     0
    -36,     9,     0
    -76,    14,     0
    -69,    81,     1
    -99,   -12,     9
    -76,    96,     1
     77,   -48,     5
    -32,    37,     1
    -78,   -38,     9
     41,   -67,     6
      4,    58,     2
    -47,   -30,     9
    -60,   -44,     9
     85,    21,     4
    -62,    37,     0
     56,   -18,     5
     73,    93,     3
     87,    69,     4
    -50,    26,     0
    100,   -22,     5
    -57,    34,     0
     39,    73,     3
    -68,   -59,     9
    -35,   -66,     8
     48,  -100,     6
     84,    64,     4
     32,   -64,     6
    100,    22,     4
    -28,     6,     0
    -65,    78,     1
    -29,   -49,     8
     49,   -13,     5
     45,    72,     3
     32,    71,     3
    -91,   -32,     9
     20,     8,     4
    -77,   -52,     9
    -42,    37,     1
    -55,    32,     0
     68,   -40,     5
    -36,    13,     0
    -86,    51,     0
      6,    75,     2
     69,  -100,     6
     39,   -37,     6
    -56,    92,     1
    -61,   -74,     8
    -21,   -33,     8
     69,   -80,     6
     49,    93,     3
    -53,    71,     1
    -84,   -58,     9
     25,    58,     3
    -72,   -39,     9
     37,   -67,     6
    -58,   -23,     9
    -11,   -93,     7
     89,  -100,     6
     23,   -83,     6
     72,    25,     4
    -78,    50,     0
    -76,    74,     1
     34,   -81,     6
    -94,    84,     1
     39,    64,     3
    -90,   -29,     9
    -35,    13,     0
    -66,   -96,     8
     90,    71,     4
    -97,   -49,     9
     -4,    91,     2
     23,   -73,     6
     74,   -94,     6
     25,   -29,     6
    -59,    79,     1
     45,   -72,     6
    -41,    19,     0
     62,   -29,     5
    -55,    92,     1
    -31,   -60,     8
     -6,    77,     2
    -77,   -35,     9
    -61,    14,     0
    -84,   -77,     9
     27,    95,     3
     75,    98,     3
    -70,   -25,     9
     -9,    96,     2
     46,   100,     3
    -69,    96,     1
    -35,    67,     1
    -73,   -29,     9
     79,    69,     4
    -84,   -42,     9
     21,   -47,     6
     17,   -41,     6
    -52,    60,     1
    -70,    42,     0
     -3,    70,     2
    -69,    65,     1
    -52,    49,     1
     95,    -9,     5
    -18,    23,     1
    -79,   -10,     9
     79,   -35,     5
     51,   -16,     5
     63,   -86,     6
     86,   -49,     5
     23,   -86,     6
    -39,    77,     1
     35,     5,     4
    -66,   -91,     8
    -31,    30,     1
     81,    25,     4
     -3,    84,     2
     73,    16,     4
     14,   -27,     6
    -19,    55,     1
    -91,    82,     1
     88,   -38,     5
     35,   -89,     6
    -19,    -5,     9
    -58,    10,     0
     15,   -27,     6
      1,   -71,     7
     34,   -59,     6
    -24,    31,     1
    -93,   -40,     9
    -92,   -63,     9
     98,   -51,     5
     44,    29,     4
    -33,   -80,     8
     -6,    86,     2
    -59,   -44,     9
    -13,    47,     1
     78,     5,     4
     26,    69,     3
    -65,    12,     0
     79,   -48,     5
     62,   -97,     6
     57,   -11,     5
     98,   -14,     5
    -23,   -45,     8
     77,   -80,     6
    -39,    38,     1
     51,   -48,     6
     55,   -18,     5
    -91,    86,     1
     41,    92,     3
     46,    65,     3
     31,    20,     4
     48,    68,     3
     58,   100,     3
     98,   -55,     5
     55,    43,     4
    -39,   -20,     9
     24,   -47,     6
     93,   -94,     6
    -57,   -13,     9
    -34,     8,     0
    -61,    16,     0
     -5,   -95,     7
      6,    53,     2
     97,    60,     4
     82,   -13,     5
    -35,   -85,     8
     79,    68,     4
     75,   -92,     6
     43,    66,     3
     67,    -5,     5
    -47,   -20,     9
    -44,   -73,     8
     21,   -66,     6
     76,    29,     4
    -39,    17,     0
    -71,   100,     1
     89,    81,     4
     49,    78,     3
    -91,    23,     0
    -57,    58,     1
    -55,    83,     1
    -62,   -37,     9
    -83,    44,     0
    -77,    64,     1
    -34,    34,     1
    -10,   -73,     7
    -76,    32,     0
    -58,     5,     0
     50,    76,     3
     85,   -93,     6
    -62,     7,     0
     25,   -49,     6
    -52,    96,     1
     73,   -14,     5
     73,    98,     3
    -61,   -40,     9
    -31,    97,     1
    -19,    32,     1
     63,   -84,     6
    -46,    23,     0
     -1,    39,     2
     31,    99,     3
      2,    98,     2
     91,   -24,     5
      6,   -87,     7
     -1,    70,     2
     83,   -43,     5
    -80,    46,     0
     32,    24,     4
    -96,    82,     1
     68,   -82,     6
     25,   -36,     6
     64,   -66,     6
    -50,   -98,     8
     83,   -26,     5
    -64,    56,     1
     66,     7,     4
     55,    -7,     5
     79,    34,     4
     93,   -76,     6
    -94,   100,     1
    -77,    97,     1
     60,    34,     4
    -50,   -19,     9
     41,   -61,     6
     65,   -11,     5
    -70,    70,     1
    -55,   -73,     8
    -68,    91,     1
     92,    62,     4
     45,    71,     3
     35,   -58,     6
     76,    48,     4
    -83,    80,     1
     64,   -13,     5
    -47,    88,     1
     47,    20,     4
    -95,    96,     1
    -47,    91,     1
    -47,   -34,     9
    -64,     9,     0
     33,   -92,     6
     -3,   -88,     7
    -93,   -23,     9
      2,   -92,     7
     67,    24,     4
     32,   -62,     6
     55,    -8,     5
    -30,    67,     1
    -73,    73,     1
     29,    56,     3
     44,    93,     3
    -54,    74,     1
     88,   -94,     6
     28,   -60,     6
     81,   -99,     6
     46,   -97,     6
    -81,    35,     0
     88,   -16,     5
    -99,   -43,     9
    -15,    27,     1
    -48,    20,     0
      0,    50,     2
    -36,   -27,     9
    -57,   -14,     9
    -96,   -76,     9
    -65,    90,     1
    -15,    45,     1
